Date,Price
2019-09-07,77.46
2019-09-08,77.4
2019-09-09,77.4
2019-09-10,77.45
2019-09-11,77.45
2019-09-12,77.5
2019-09-13,77.57
2019-09-14,77.65
2019-09-15,77.71
2019-09-16,77.71
2019-09-17,77.85
2019-09-18,78.1
2019-09-19,78.39
2019-09-20,78.73
2019-09-21,79.02
2019-09-22,79.29
2019-09-23,79.57
2019-09-24,79.79
2019-09-25,79.79
2019-09-26,79.85
2019-09-27,80.0
2019-09-28,80.0
2019-09-29,80.0
2019-09-30,80.08
2019-10-01,80.21
2019-10-02,80.21
2019-10-03,80.11
2019-10-04,79.93
2019-10-05,79.65
2019-10-06,79.5
2019-10-07,79.37
2019-10-08,79.2
2019-10-09,79.2
2019-10-10,79.15
2019-10-11,79.03
2019-10-12,78.93
2019-10-13,78.93
2019-10-14,78.93
2019-10-15,78.88
2019-10-16,78.88
2019-10-17,78.88
2019-10-18,78.88
2019-10-19,78.88
2019-10-20,78.88
2019-10-21,78.88
2019-10-22,78.83
2019-10-23,78.83
2019-10-24,78.78
2019-10-25,78.68
2019-10-26,78.6
2019-10-27,78.6
2019-10-28,78.6
2019-10-29,78.54
2019-10-30,78.54
2019-10-31,78.54
2019-11-01,78.51
2019-11-02,78.48
2019-11-03,78.42
2019-11-04,78.33
2019-11-05,78.28
2019-11-06,78.28
2019-11-07,78.28
2019-11-08,78.38
2019-11-09,78.52
2019-11-10,78.72
2019-11-11,78.87
2019-11-12,78.97
2019-11-13,78.97
2019-11-14,79.12
2019-11-15,79.3
2019-11-16,79.44
2019-11-17,79.55
2019-11-18,79.71
2019-11-19,79.86
2019-11-20,79.86
2019-11-21,79.86
2019-11-22,80.01
2019-11-23,80.1
2019-11-24,80.2
2019-11-25,80.32
2019-11-26,80.42
2019-11-27,80.42
2019-11-28,80.42
2019-11-29,80.46
2019-11-30,80.51
2019-12-01,80.59
2019-12-02,80.59
2019-12-03,80.59
2019-12-04,80.59
2019-12-05,80.59
2019-12-06,80.51
2019-12-07,80.51
2019-12-08,80.6
2019-12-09,80.65
2019-12-10,80.65
2019-12-11,80.65
2019-12-12,80.6
2019-12-13,80.54
2019-12-14,80.49
2019-12-15,80.4
2019-12-16,80.35
2019-12-17,80.29
2019-12-18,80.29
2019-12-19,80.29
2019-12-20,80.29
2019-12-21,80.29
2019-12-22,80.29
2019-12-23,80.29
2019-12-24,80.29
2019-12-25,80.29
2019-12-26,80.34
2019-12-27,80.4
2019-12-28,80.4
2019-12-29,80.53
2019-12-30,80.69
2019-12-31,80.79
2020-01-01,80.79
2020-01-02,80.87
2020-01-03,80.94
2020-01-04,81.04
2020-01-05,81.13
